alert_id,type_of_alert,status,assigned_to_name,creation_date,resolution_date,impact_level,sla_hours,jurisdiction,category,tax_code,monetary_exposure,has_invoice_linked,order_id,invoice_id
ALRT-85235-0,MISSING_INVOICE,open,Bruno,2025-08-31T00:33:55.003907+00:00,,low,48,BR-RS,Electronics,COFINS,7395.24,False,O74942,
ALRT-28793-1,MISSING_INVOICE,open,,2025-07-17T02:33:55.204303+00:00,,high,168,BR-RJ,Home,PIS,22613.74,True,O76319,INV-48082
ALRT-72824-2,INVOICE_AMOUNT_MISMATCH,closed,Diego,2025-08-28T22:33:55.404951+00:00,2025-09-13T22:33:55.404951+00:00,low,168,BR-RS,Beauty,PIS,48170.31,True,,INV-17814
ALRT-78202-3,INVOICE_AMOUNT_MISMATCH,open,Bruno,2025-10-31T10:33:55.606173+00:00,,medium,48,BR-RJ,Books,ISS,15610.21,False,O21376,
ALRT-74892-4,WRONG_TAX_RATE,open,Diego,2025-10-23T10:33:55.807236+00:00,,medium,168,BR-PR,Books,ICMS,8312.43,True,O40024,INV-83010
ALRT-65993-5,WRONG_TAX_RATE,in_progress,Eva,2025-08-25T16:33:56.008241+00:00,,low,72,BR-MG,Games,PIS,46418.11,True,O38238,INV-66762
ALRT-94209-6,WRONG_TAX_RATE,open,Ana,2025-07-18T12:33:56.209458+00:00,,low,24,BR-PR,Electronics,PIS,19317.7,True,O57682,INV-20253
ALRT-90361-7,WRONG_TAX_RATE,in_progress,Bruno,2025-10-17T03:33:56.410501+00:00,,medium,168,BR-RJ,Electronics,COFINS,3921.37,True,O69361,INV-65919
ALRT-44212-8,TAX_JURISDICTION_ERROR,open,,2025-08-28T03:33:56.611652+00:00,,medium,48,BR-SP,Beauty,COFINS,23658.09,True,O28841,INV-37894
ALRT-54808-9,MISSING_INVOICE,open,Carla,2025-10-03T04:33:56.812713+00:00,,medium,24,BR-SP,Electronics,COFINS,17498.97,True,O86424,INV-10568
ALRT-84117-10,WRONG_TAX_RATE,closed,Eva,2025-07-16T16:33:57.013679+00:00,2025-08-12T16:33:57.013679+00:00,low,168,BR-RJ,Games,COFINS,3838.02,True,O60189,INV-98151
ALRT-43670-11,WRONG_TAX_RATE,in_progress,,2025-09-20T15:33:57.213965+00:00,,low,72,BR-MG,Games,PIS,14301.03,True,O93102,INV-20578
ALRT-48419-12,INVOICE_AMOUNT_MISMATCH,open,Ana,2025-07-23T10:33:57.414713+00:00,,high,72,BR-PR,Games,ISS,30068.18,True,,
ALRT-54972-13,MISSING_INVOICE,closed,Diego,2025-08-25T21:33:57.615378+00:00,2025-09-20T21:33:57.615378+00:00,medium,168,BR-MG,Beauty,ICMS,8973.5,False,O24781,
ALRT-21220-14,INVOICE_AMOUNT_MISMATCH,in_progress,Bruno,2025-08-20T19:33:57.816006+00:00,,low,168,BR-PR,Books,PIS,28233.44,True,O62515,INV-74350
ALRT-20769-15,TAX_JURISDICTION_ERROR,closed,,2025-08-06T01:33:58.016363+00:00,2025-08-30T01:33:58.016363+00:00,critical,24,BR-SP,Home,ISS,37505.72,False,O34480,
ALRT-85828-16,MISSING_INVOICE,open,Diego,2025-11-04T04:33:58.216614+00:00,,low,72,BR-RS,Books,PIS,10914.13,False,O18634,
ALRT-74822-17,WRONG_TAX_RATE,open,Carla,2025-09-19T11:33:58.417748+00:00,,medium,24,BR-SP,Beauty,IPI,7691.08,True,,
ALRT-83907-18,INVOICE_AMOUNT_MISMATCH,closed,Bruno,2025-08-03T04:33:58.617960+00:00,2025-08-08T04:33:58.617960+00:00,low,48,BR-PR,Electronics,ICMS,7817.82,True,O80250,INV-41661
